owning_agency_name,reporting_agency_name,submission_period,federal_account_symbol,federal_account_name,agency_identifier_name,budget_function,budget_subfunction,budget_authority_unobligated_balance_brought_forward,adjustments_to_unobligated_balance_brought_forward_cpe,budget_authority_appropriated_amount,borrowing_authority_amount,contract_authority_amount,spending_authority_from_offsetting_collections_amount,total_other_budgetary_resources_amount,total_budgetary_resources,obligations_incurred,deobligations_or_recoveries_or_refunds_from_prior_year,unobligated_balance,gross_outlay_amount,status_of_budgetary_resources_total,last_modified_date
Department of Defense,Department of Defense,FY2023P12,021-5098,"Restoration, Rocky Mountain Arsenal, Army",Department of the Army,National Defense,Department of Defense-Military,15257961.09,1026258.13,1394232.8,0,0,0,0,17678452.02,2430420.71,1026258.13,15248031.31,1949111.23,17678452.02,2024-01-30
Department of Defense,Department of Defense,FY2023P12,021-5285,"Department of Defense, Forest Products Program, Army",Department of the Army,Natural Resources and Environment,Recreational resources,33060796.91,0,5530826.23,0,0,0,0,38591623.14,1212332.5,0,37379290.64,1211704.74,38591623.14,2024-01-30
Department of Defense,Department of Defense,FY2023P12,021-5286,"National Science Center, Army",Department of the Army,National Defense,Department of Defense-Military,77588.63,-5942,-498,0,0,0,0,71148.63,24121.22,0,47027.41,24121.22,71148.63,2024-01-30
Department of Defense,Department of Defense,FY2023P12,021-5602,"National Military Cemeteries Concessions, Army",Department of the Army,Veterans Benefits and Services,Other veterans benefits and services,1049555.75,-10310,1743397,0,0,0,0,2782642.75,117222,26923,2665420.75,0,2782642.75,2024-01-30
Department of Defense,Department of Defense,FY2023P12,021-5752,"Department of Defense Korean War Commemoration Fund, Army",Department of the Army,National Defense,Department of Defense-Military,500,0,0,0,0,0,0,500,0,0,500,0,500,2024-01-30
Department of Defense,Department of Defense,FY2023P12,021-5756,"Natick Land Conveyance, Army",Department of the Army,National Defense,Department of Defense-Military,0,9540000,0,0,0,0,0,9540000,0,9540000,9540000,0,9540000,2024-01-30
Department of Defense,Department of Defense,FY2023P12,021-8063,"Bequest of Major General Fred C. Ainsworth, Library, Walter Reed General Hospital, Army",Department of the Army,National Defense,Department of Defense-Military,23684.25,0,0,0,0,0,0,23684.25,0,0,23684.25,0,23684.25,2024-01-30
Department of Defense,Department of Defense,FY2023P12,021-8927,"Department of the Army General Gift Fund, Army",Department of the Army,National Defense,Department of Defense-Military,29788679.79,391329.4,35063285.47,0,0,0,0,65243294.66,17350520.28,391329.4,47892774.38,32960093.08,65243294.66,2024-01-30
Office of Personnel Management,Office of Personnel Management,FY2023P12,024-0100,"Salaries and Expenses, Office of Personnel Management",Office of Personnel Management,General Government,Central personnel management,116688685.44,8926651.97,184584000,0,0,487510676.82,487510676.82,797710014.23,667496179,10458528.26,130213835.23,604052353.89,797710014.23,2023-11-15
Office of Personnel Management,Office of Personnel Management,FY2023P12,024-0200,"Payment to Civil Service Retirement and Disability Fund, Office of Personnel Management",Office of Personnel Management,General Government,Central personnel management,0,0,49888689628,0,0,0,0,49888689628,49888689628,0,0,49888689628,49888689628,2023-11-15
Office of Personnel Management,Office of Personnel Management,FY2023P12,024-0206,"Government Payment for Annuitants, Employees' Health Benefits, Office of Personnel Management",Office of Personnel Management,Health,Health care services,0,0,14495398482.02,0,0,0,0,14495398482.02,14495398482.02,0,0,14447665339.89,14495398482.02,2023-11-15
Office of Personnel Management,Office of Personnel Management,FY2023P12,024-0400,"Salaries and Expenses, Office of Inspector General, Office of Personnel Management",Office of Personnel Management,General Government,Central personnel management,1280711.83,182368.17,6908000,0,0,29372584.18,29372584.18,37743664.18,36348666.55,335682.48,1394997.63,33877891.09,37743664.18,2023-11-15
Office of Personnel Management,Office of Personnel Management,FY2023P12,024-0500,"Government Payment for Annuitants, Employee Life Insurance     Benefits, Office of Personnel Management",Office of Personnel Management,Income Security,Federal employee retirement and disability,0,0,42940809.8,0,0,0,0,42940809.8,42940809.8,0,0,43130225.31,42940809.8,2023-11-15
Office of Personnel Management,Office of Personnel Management,FY2023P12,024-0600,"OPM Building Delegation Fund, Office of Personnel Management",Office of Personnel Management,General Government,Central personnel management,4258407.8,-112185.65,0,0,0,11081543.61,11081543.61,15227765.76,11986760.91,457418.54,3241004.85,9049161.36,15227765.76,2023-11-15
Office of Personnel Management,Office of Personnel Management,FY2023P12,024-0800,"Flexible Benefits Plan Reserve, Office of Personnel Management",Office of Personnel Management,General Government,Central personnel management,64429209.73,4724733.12,0,0,0,45576029.55,45576029.55,114729972.4,11267425.74,4724733.12,103462546.66,7333225.12,114729972.4,2023-11-15
Office of Personnel Management,Office of Personnel Management,FY2023P12,024-0806,"Emergency Federal Employee Leave Fund, Office of Personnel Management",Office of Personnel Management,Income Security,Federal employee retirement and disability,196227471.86,0,0,0,0,0,0,196227471.86,702.13,0,196226769.73,1512.1,196227471.86,2023-11-15
Office of Personnel Management,Office of Personnel Management,FY2023P12,024-0813,"Postal Service Health Benefits Program Implementation Fund, Office of Personnel Management",Office of Personnel Management,Health,Health care services,66400569.79,5580.56,0,0,0,0,0,66406150.35,53392315.58,5580.56,13013834.77,11846602.24,66406150.35,2023-11-15
Office of Personnel Management,Office of Personnel Management,FY2023P12,024-1162,"IT Modernization and Working Capital, Office of Personnel Management",Office of Personnel Management,General Government,Central personnel management,500000,0,6200000,0,0,0,0,6700000,0,0,6700000,0,6700000,2023-11-15
Office of Personnel Management,Office of Personnel Management,FY2023P12,024-4571,"Revolving Fund, Undistributed SIBAC Chargebacks for Washington, DC, Office of Personnel Management",Office of Personnel Management,General Government,Central personnel management,390390427.02,44254171.37,0,0,0,702025111.79,702025111.79,1136669710.18,628383730.4,44297751.54,508285979.78,601854288.33,1136669710.18,2023-11-15
Office of Personnel Management,Office of Personnel Management,FY2023P12,024-5391,"Postal Service Contributions for Retiree Health Benefits, Office of Personnel Management",Office of Personnel Management,Health,Health care services,0,0,4351940251.45,0,0,0,0,4351940251.45,4351940251.45,0,0,4351940251.45,4351940251.45,2023-11-15
Office of Personnel Management,Office of Personnel Management,FY2023P12,024-8135,"Civil Service Retirement and Disability Fund, Office of Personnel Management",Office of Personnel Management,Income Security,Federal employee retirement and disability,0,3680680.9,104915576908.46,0,0,0,0,104919257589.36,104919257589.36,3680680.9,0,104150866396.67,104919257589.36,2023-11-15
Office of Personnel Management,Office of Personnel Management,FY2023P12,024-8424,"Employees' Life Insurance Fund, Office of Personnel Management",Office of Personnel Management,Income Security,Federal employee retirement and disability,49261833878.09,43455804.06,0,0,0,5392860456.85,5392860456.85,54698150139,3871132037.59,43455804.06,50827018101.41,3810405022.15,54698150139,2023-11-15
Office of Personnel Management,Office of Personnel Management,FY2023P12,024-8440,"Employees' Health Benefits Fund, Office of Personnel Management",Office of Personnel Management,Health,Health care services,22833462760.93,39835954.85,0,0,0,63496602995.72,63496602995.72,86369901711.5,64717471254.24,39835954.85,21652430457.26,65092079091.4,86369901711.5,2023-11-15
Office of Personnel Management,Office of Personnel Management,FY2023P12,024-8445,"Retired Employees' Health Benefits Fund, Office of Personnel Management",Office of Personnel Management,Health,Health care services,2562785.08,0,0,0,0,202680.7,202680.7,2765465.78,135702.3,0,2629763.48,138468.8,2765465.78,2023-11-15
National Credit Union Administration,National Credit Union Administration,FY2023P12,025-4472,"Community Development Revolving Loan Fund, National Credit Union",National Credit Union Administration,Commerce and Housing Credit,Deposit insurance,11172549.47,-7888.19,3500000,0,0,3992702.83,3992702.83,18657364.11,4936854.11,462899.37,13720510,3125758.26,18657364.11,2023-11-15
Federal Communications Commission,Federal Communications Commission,FY2023P12,027-0100,"Salaries and Expenses, Federal Communications Commission",Federal Communications Commission,Commerce and Housing Credit,Other advancement of commerce,157346788.81,10636593.59,-32122.27,0,0,523182512.53,523182512.53,691133772.66,546830231.54,10636593.59,144303541.12,638148732.52,691133772.66,2023-11-21
Federal Communications Commission,Federal Communications Commission,FY2023P12,027-0300,"Spectrum Auction Program Account, Federal Communications Commission",Federal Communications Commission,Commerce and Housing Credit,Other advancement of commerce,2816454.2,0,0,0,0,0,0,2816454.2,0,0,2816454.2,0,2816454.2,2023-11-21
Federal Communications Commission,Federal Communications Commission,FY2023P12,027-1911,"Affordable Connectivity Fund, Federal Communications Commission",Federal Communications Commission,Commerce and Housing Credit,Other advancement of commerce,12195874212.42,80173995.15,0,0,0,0,0,12276048207.57,6737107496.16,80173995.15,5538940711.41,6269473691.92,12276048207.57,2023-11-21
Federal Communications Commission,Federal Communications Commission,FY2023P12,027-1912,"Secure and Trusted Communications Networks Reimbursement Program, Federal Communications Commission",Federal Communications Commission,Commerce and Housing Credit,Other advancement of commerce,54191122.45,0,0,0,0,0,0,54191122.45,7516852.65,0,46674269.8,251550195.27,54191122.45,2023-11-21
Federal Communications Commission,Federal Communications Commission,FY2023P12,027-1913,"Emergency Connectivity Fund for Educational Connections and Devices, Federal Communications Commisison",Federal Communications Commission,Commerce and Housing Credit,Other advancement of commerce,1401575515.31,382986324.82,0,0,0,0,0,1784561840.13,1160344207.74,382986324.82,624217632.39,1877563794.6,1784561840.13,2023-11-21
Federal Communications Commission,Federal Communications Commission,FY2023P12,027-5183,"Universal Service Fund, Federal Communications Commission",Federal Communications Commission,Commerce and Housing Credit,Other advancement of commerce,-12438227953.11,687531663.17,7900702416.97,0,0,0,0,-3849993872.97,7401275742.69,687531663.17,-11251269615.66,8283466464.23,-3849993872.97,2023-11-21
Federal Communications Commission,Federal Communications Commission,FY2023P12,027-5610,"TV Broadcaster Relocation Fund, Federal Communications Commission",Federal Communications Commission,Commerce and Housing Credit,Other advancement of commerce,686740963.11,258749714.36,0,0,0,0,0,945490677.47,83322160.47,258749714.36,862168517,41133683.16,945490677.47,2023-11-21
Federal Communications Commission,Federal Communications Commission,FY2023P12,027-5700,"Telecommunications Relay Services Fund, Federal Communications Commission",Federal Communications Commission,Commerce and Housing Credit,Other advancement of commerce,506595643.84,224297.24,1006653700.09,0,0,0,0,1513473641.17,1244624812.85,224297.24,268848828.32,1237525916.04,1513473641.17,2023-11-21
Social Security Administration,Social Security Administration,FY2023P12,028-0400,"Office of the Inspector General, Social Security Administration",Social Security Administration,Income Security,Other income security,6587315.42,771695.64,32000000,0,0,96623250.17,96623250.17,135982261.23,130626396.02,1183319.55,5355865.21,128688970.02,135982261.23,2023-11-13
Social Security Administration,Social Security Administration,FY2023P12,028-0401,"Special Benefits for Certain World War II Veterans, Social Security Administration",Social Security Administration,Veterans Benefits and Services,Income security for veterans,0,0,312978.44,0,0,105828.18,105828.18,418806.62,418806.62,0,0,418806.62,418806.62,2023-11-13
Social Security Administration,Social Security Administration,FY2023P12,028-0404,"Payments to Social Security Trust Funds, Social Security Administration",Social Security Administration,Social Security,Social security,49550146.6,-7627101.25,50806601384.78,0,0,0,0,50848524430.13,50801892235.5,31430.65,46632194.63,50801147289.85,50848524430.13,2023-11-13
Social Security Administration,Social Security Administration,FY2023P12,028-0406,"Supplemental Security Income Program, Social Security Administration",Social Security Administration,Income Security,Other income security,4644621569.66,369537412.38,64209338000,0,0,3117544000,3117544000,72341040982.04,68531529190.36,372920423.81,3809511791.68,67705191329.44,72341040982.04,2023-11-13
Social Security Administration,Social Security Administration,FY2023P12,028-0415,"Administrative Costs, The Medicare Improvements for Patients and Providers Act, Social Security Administration",Social Security Administration,Medicare,Medicare,14902658.42,0,0,0,0,0,0,14902658.42,0,0,14902658.42,28496.48,14902658.42,2023-11-13
Social Security Administration,Social Security Administration,FY2023P12,028-0416,"Administrative Expenses, Children's Health Insurance Program, Social Security Administration",Social Security Administration,Health,Health care services,1920375.76,0,0,0,0,0,0,1920375.76,21534.26,0,1898841.5,21534.26,1920375.76,2023-11-13
Social Security Administration,Social Security Administration,FY2023P12,028-0417,"Limitation on Administrative Expenses - Recovery Act, Social Security Administration",Social Security Administration,Social Security,Social security,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-13
Social Security Administration,Social Security Administration,FY2023P12,028-0419,"Payment to Limitation on Administrative Expenses, Social Security Administration",Social Security Administration,Social Security,Social security,0,0,0,0,0,0,0,0,0,0,0,246939.68,0,2023-11-13
Social Security Administration,Social Security Administration,FY2023P12,028-0440,"Payments for Credits Against Social Security Contributions, Social Security Administration",Social Security Administration,Social Security,Social security,0,0,1831.46,0,0,0,0,1831.46,1831.46,0,0,1831.46,1831.46,2023-11-13
Social Security Administration,Social Security Administration,FY2023P12,028-5419,"State Supplemental Fees, Social Security Administration",Social Security Administration,Income Security,Other income security,0,0,140000000,0,0,0,0,140000000,140000000,0,0,140000000,140000000,2023-11-13
Social Security Administration,Social Security Administration,FY2023P12,028-8006,"Federal Old-Age and Survivors Insurance Trust Fund - Treasury Managed, Social Security Administration",Social Security Administration,Social Security,Social security,0,358791978.04,1214363156701.78,0,0,0,0,1214721948679.82,1214721948679.82,41495935.64,0,1202074956115.04,1214721948679.82,2023-11-13
Social Security Administration,Social Security Administration,FY2023P12,028-8007,"Federal Disability Insurance Trust Fund - Treasury Managed, Social Security Administration",Social Security Administration,Social Security,Social security,0,5574582.66,158204761157.74,0,0,0,0,158210335740.4,158210335740.4,52990566.12,0,152524560162.78,158210335740.4,2023-11-13
Social Security Administration,Social Security Administration,FY2023P12,028-8704,"Salaries and Expenses, Social Security Administration",Social Security Administration,Social Security,Social security,828513070.29,355581157.55,0,0,0,14096534877.62,14096534877.62,15280629105.46,14306301622.85,355581157.55,974327482.61,13927217664.63,15280629105.46,2023-11-13
Federal Trade Commission,Federal Trade Commission,FY2023P12,029-0100,"Salaries and Expenses, Federal Trade Commission",Federal Trade Commission,Commerce and Housing Credit,Other advancement of commerce,63454905.14,10950212.62,59651809.22,0,0,360259967.4,360259967.4,494316894.38,427448856.43,10950212.62,66868037.95,398542722.74,494316894.38,2023-11-15
Nuclear Regulatory Commission,Nuclear Regulatory Commission,FY2023P12,031-0200,"Salaries and Expenses, Nuclear Regulatory Commission",Nuclear Regulatory Commission,Energy,"Energy information, policy, and regulation",99735467.53,28979270.35,911384000,0,0,7224196.9,7224196.9,1047322934.78,933494273.02,29013659.38,113828661.76,892216350.65,1047322934.78,2023-10-30
Nuclear Regulatory Commission,Nuclear Regulatory Commission,FY2023P12,031-0300,"Office of the Inspector General, Nuclear Regulatory Commission",Nuclear Regulatory Commission,Energy,"Energy information, policy, and regulation",5325352.35,-115992.67,15769000,0,0,0,0,20978359.68,13281377.05,477840.5,7696982.63,13101009.41,20978359.68,2023-10-30
International Trade Commission,International Trade Commission,FY2023P12,034-0100,"Salaries and Expenses, International Trade Commission",International Trade Commission,International Affairs,Conduct of foreign affairs,2400279.37,2041341.62,122400000,0,0,0,0,126841620.99,115149080.25,2041341.62,11692540.74,112360616.09,126841620.99,2023-11-07
Department of Veterans Affairs,Department of Veterans Affairs,FY2023P12,036-0102,"Compensation and Pensions, Veterans Benefits Administration, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits and Services,Income security for veterans,17583158960.84,1982165386.82,152016542000,0,0,0,0,171581866347.66,153224856386.37,1982165386.82,18357009961.29,152249365164.3,171581866347.66,2023-11-15
Department of Veterans Affairs,Department of Veterans Affairs,FY2023P12,036-0110,"Construction, Major Projects, Departmental Administration, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits and Services,Hospital and medical care for veterans,4037640709.47,32921409.08,1371890000,0,0,0,0,5442452118.55,2066632577.25,32921409.08,3375819541.3,1870212283.97,5442452118.55,2023-11-15
Department of Veterans Affairs,Department of Veterans Affairs,FY2023P12,036-0111,"Construction, Minor Projects, Departmental Administration, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits and Services,Hospital and medical care for veterans,1155899851.19,87396134.65,626110000,0,0,0,0,1869405985.84,455449878.1,94726897.04,1413956107.74,493181382.29,1869405985.84,2023-11-15
Department of Veterans Affairs,Department of Veterans Affairs,FY2023P12,036-0120,"Veterans Insurance and Indemnities, Veterans Benefits Administration, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits and Services,Income security for veterans,3828960.79,0,109865000,0,0,5977937.05,5977937.05,119671897.84,105999324.78,0,13672573.06,105499456.45,119671897.84,2023-11-15
Department of Veterans Affairs,Department of Veterans Affairs,FY2023P12,036-0129,"National Cemetery Administration, Veterans Health Administration, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits and Services,Other veterans benefits and services,17998992.44,14033384.36,430000000,0,0,3829595.4,3829595.4,465861972.2,443457126.06,15696588.95,22404846.14,403930060.33,465861972.2,2023-11-15
Department of Veterans Affairs,Department of Veterans Affairs,FY2023P12,036-0131,"Emergency Department of Veterans Affairs Employee Leave Fund, Veterans Health Administration, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits and Services,Hospital and medical care for veterans,54046212.69,0,0,0,0,0,0,54046212.69,0,0,54046212.69,0,54046212.69,2023-11-15
Department of Veterans Affairs,Department of Veterans Affairs,FY2023P12,036-0137,"Readjustment Benefits, Veterans Benefits Administration, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits and Services,"Veterans education, training, and rehabilitation",8896247433.04,176982817.48,8906851000,0,0,159506308.4,159506308.4,18139587558.92,12764268745.62,177065684.58,5375318813.3,12779579016.46,18139587558.92,2023-11-15
Department of Veterans Affairs,Department of Veterans Affairs,FY2023P12,036-0140,"Medical Community Care, Veterans Health Administration, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits and Services,Hospital and medical care for veterans,420006739.16,361922642.9,30746348441.75,0,0,0,0,31528277823.81,29930914879.08,373022399.09,1597362944.73,29553133415.57,31528277823.81,2023-11-15
Department of Veterans Affairs,Department of Veterans Affairs,FY2023P12,036-0142,"General Administration, Departmental Administration, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits and Services,Other veterans benefits and services,58657909.49,30505522.58,433000000,0,0,460841752.98,460841752.98,983005185.05,914961089.43,41532183.63,68044095.62,898215790.01,983005185.05,2023-11-15
Department of Veterans Affairs,Department of Veterans Affairs,FY2023P12,036-0151,"General Operating Expenses, Veterans Benefits Administration, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits and Services,Other veterans benefits and services,348346137.57,705688278.17,3882500000,0,0,4124754129.84,4124754129.84,9061288545.58,7816898082.48,739105069.34,1244390463.1,6967691400.47,9061288545.58,2023-11-15
Department of Veterans Affairs,Department of Veterans Affairs,FY2023P12,036-0152,"Medical Support and Compliance, Veterans Health Administration, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits and Services,Hospital and medical care for veterans,749875930.79,162258094.96,9541265000,0,0,64557838.2,64557838.2,10517956863.95,9762019165.08,230562634.31,755937698.87,9297140885.35,10517956863.95,2023-11-15
Department of Veterans Affairs,Department of Veterans Affairs,FY2023P12,036-0160,"Medical Services, Veterans Health Administration, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits and Services,Hospital and medical care for veterans,4579866514.3,667696829,73594447176.85,0,0,127202565.96,127202565.96,78969213086.11,74353594567.49,1075608697,4615618518.62,72392718473.7,78969213086.11,2023-11-15
Department of Veterans Affairs,Department of Veterans Affairs,FY2023P12,036-0161,"Medical and Prosthetic Research, Veterans Health Administration, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits and Services,Hospital and medical care for veterans,159869660.64,52412344.86,916000000,0,0,37820404.29,37820404.29,1166102409.79,1024094815.98,62489716.72,142007593.81,997483715.78,1166102409.79,2023-11-15
Department of Veterans Affairs,Department of Veterans Affairs,FY2023P12,036-0162,"Expenses, Medical Facilities, Veterans Health Administration, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits and Services,Hospital and medical care for veterans,1056718505.86,340679716.33,10371101000,0,0,19755315.52,19755315.52,11788254537.71,9117522634.68,375554637.02,2670731903.03,7325353844.99,11788254537.71,2023-11-15
Department of Veterans Affairs,Department of Defense;Department of Veterans Affairs,FY2023P12,036-0165,"DOD-VA Health Care Sharing Incentive Fund, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits and Services,Hospital and medical care for veterans,98923778.16,995693.35,30000000,0,0,0,0,129919471.51,24032598.46,995693.35,105886873.05,19370953.5,129919471.51,2024-01-30
Department of Veterans Affairs,Department of Veterans Affairs,FY2023P12,036-0167,"Information Technology Systems, Departmental Administration, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits and Services,Other veterans benefits and services,284448038.8,102464247.79,5773915000,0,0,180528706.18,180528706.18,6341355992.77,5813813150.23,165115486.99,527542842.54,5529619139.22,6341355992.77,2023-11-15
Department of Veterans Affairs,Department of Veterans Affairs,FY2023P12,036-0169,"Joint Department of Defense - Department of Veterans Affairs Medical Facility Demonstration Fund, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits and Services,Hospital and medical care for veterans,3175050.08,12259105.9,667534914.41,0,0,10795723,10795723,693764793.39,682852166.23,13780129.69,10912627.16,603730519.14,693764793.39,2023-11-15
Department of Veterans Affairs,Department of Veterans Affairs,FY2023P12,036-0170,"Office of Inspector General, Departmental Administration, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits and Services,Other veterans benefits and services,11335443.69,14179935.83,273000000,0,0,-66524.51,-66524.51,298448855.01,281451112.35,15432008.38,16997742.66,264497850.25,298448855.01,2023-11-15
Department of Veterans Affairs,Department of Veterans Affairs,FY2023P12,036-0172,"Veterans Choice Fund, Veterans Health Administration, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits and Services,Hospital and medical care for veterans,272549708.36,32677268.3,0,0,0,0,0,305226976.66,401314.05,32677268.3,304825662.61,398148.2,305226976.66,2023-11-15
Department of Veterans Affairs,Department of Veterans Affairs,FY2023P12,036-0173,"Veterans Medical Care and Health Fund, Veterans Health Administration, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits and Services,Hospital and medical care for veterans,4794608100.63,187561286.23,0,0,0,0,0,4982169386.86,4982097416.14,187561286.23,71970.72,5556048800,4982169386.86,2023-11-15
Department of Veterans Affairs,Department of Veterans Affairs,FY2023P12,036-0181,"Grants for Construction of State Extended Care Facilities, Departmental Administration, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits and Services,Hospital and medical care for veterans,210551521.64,39212042.21,150000000,0,0,0,0,399763563.85,251862620.4,39212042.21,147900943.45,262580016.6,399763563.85,2023-11-15
Department of Veterans Affairs,Department of Veterans Affairs,FY2023P12,036-0183,"Grants for Construction of State Veterans Cemeteries, Departmental Administration, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits and Services,Other veterans benefits and services,24645732.98,2597699.16,50000000,0,0,0,0,77243432.14,76991879,2597699.16,251553.14,52772940.53,77243432.14,2023-11-15
Department of Veterans Affairs,Department of Veterans Affairs,FY2023P12,036-1114,"Vocational Rehabilitation Loans Program Account, Veterans Benefits Administration, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits and Services,Veterans housing,4756.08,0,460486.35,0,0,0,0,465242.43,460486.35,0,4756.08,460486.35,465242.43,2023-11-15
Department of Veterans Affairs,Department of Veterans Affairs,FY2023P12,036-1119,"Veterans Housing Benefit Program Fund, Veterans Benefits Administration, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits and Services,Veterans housing,46402551.16,-29520122.2,1052876527.17,0,0,0,0,1069758956.13,1018966322.17,0,50792633.96,997581690.62,1069758956.13,2023-11-15
Department of Veterans Affairs,Department of Veterans Affairs,FY2023P12,036-1120,"Native American Veteran Housing Loan Program Account, Veterans Benefits Administration, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits and Services,Veterans housing,2273569.99,-10566.49,5534502.81,0,0,0,0,7797506.31,5534502.81,0,2263003.5,5453027.81,7797506.31,2023-11-15
Department of Veterans Affairs,Department of Veterans Affairs,FY2023P12,036-1121,"Filipino Veterans Equity Compensation Fund, Benefits Programs, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits and Services,Income security for veterans,55608755,0,0,0,0,0,0,55608755,0,0,55608755,0,55608755,2023-11-15
Department of Veterans Affairs,Department of Veterans Affairs,FY2023P12,036-1122,"Board of Veterans Appeals, Departmental Administration, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits and Services,Other veterans benefits and services,27765860.99,820670.44,265500000,0,0,23826.13,23826.13,294110357.56,245972707.24,3626743.99,48137650.32,234999744.35,294110357.56,2023-11-15
Department of Veterans Affairs,Department of Veterans Affairs,FY2023P12,036-1123,"Veterans Electronic Health Record, Departmental Administration, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits and Services,Hospital and medical care for veterans,496640397.21,133760091.5,1609000000,0,0,0,0,2239400488.71,1414653121.14,133760091.5,824747367.57,2228891703.6,2239400488.71,2023-11-15
Department of Veterans Affairs,Department of Veterans Affairs,FY2023P12,036-1124,"Recurring Expenses Transformational Fund, Departmental Administration, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits and Services,Other veterans benefits and services,1059779435.27,676132613.68,-90874000,0,0,0,0,1645038048.95,637847255.41,0,1007190793.54,589713346.04,1645038048.95,2023-11-15
Department of Veterans Affairs,Department of Veterans Affairs,FY2023P12,036-1126,"Cost of War Toxic Exposures Fund, Departmental Administration, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits and Services,Hospital and medical care for veterans,500000000,0,5000000000,0,0,0,0,5500000000,1256886496.46,0,4243113503.54,729079573.28,5500000000,2023-11-15
Department of Veterans Affairs,Department of Veterans Affairs,FY2023P12,036-1130,"Asset and Infrastructure Review, Departmental Administration, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits and Services,Other veterans benefits and services,5000000,0,-5000000,0,0,0,0,0,0,0,0,0,0,2023-11-15
Department of Veterans Affairs,Department of Veterans Affairs,FY2023P12,036-4009,"Servicemen's Group Life Insurance Fund, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits and Services,Income security for veterans,3111204299.11,0,0,0,0,1318485074.95,1318485074.95,4429689374.06,695662426.38,0,3734026947.68,693584426.38,4429689374.06,2023-11-15
Department of Veterans Affairs,Department of Veterans Affairs,FY2023P12,036-4010,"Veterans Reopened Insurance Fund, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits and Services,Income security for veterans,28633050.62,1259.66,0,0,0,1357515.78,1357515.78,29991826.06,7580943.25,1259.66,22410882.81,7801470.47,29991826.06,2023-11-15
Department of Veterans Affairs,Department of Veterans Affairs,FY2023P12,036-4012,"Service-Disabled Veterans Insurance Fund, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits and Services,Income security for veterans,69679616.91,103328.35,0,0,0,162709250.76,162709250.76,232492196.02,174835455.21,103328.35,57656740.81,135530869.92,232492196.02,2023-11-15
Department of Veterans Affairs,Department of Veterans Affairs,FY2023P12,036-4014,"Canteen Service Revolving Fund, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits and Services,Other veterans benefits and services,72947531.86,2261390.68,0,0,0,384468202.78,384468202.78,459677125.32,411370374.15,2261390.68,48306751.17,406310948.01,459677125.32,2023-11-15
Department of Veterans Affairs,Department of Veterans Affairs,FY2023P12,036-4018,"Pershing Hall Revolving Fund, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits and Services,Other veterans benefits and services,3643964.75,0,0,0,0,0,0,3643964.75,90860.44,0,3553104.31,90631.19,3643964.75,2023-11-15
Department of Veterans Affairs,Department of Veterans Affairs,FY2023P12,036-4025,"Veterans Housing Benefit Program Fund Liquidating Account, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits and Services,Veterans housing,909024.85,-909024.85,0,0,0,1497400.6,1497400.6,1497400.6,435673.75,0,1061726.85,479113.67,1497400.6,2023-11-15
Department of Veterans Affairs,Department of Veterans Affairs,FY2023P12,036-4379,"Veteran Affairs Life Insurance, Veterans Benefits Administration, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits and Services,Other veterans benefits and services,0,0,0,0,0,21811537.8,21811537.8,21811537.8,5437134.16,0,16374403.64,99237.88,21811537.8,2023-11-15
